S,Label_GMM,T,Did_estimation
1,0,1,0.07218506131549614
0,1,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,1,1,0.07218506131549614
0,0,1,0.07218506131549614
1,1,1,0.07218506131549614
0,1,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,1,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,1,1,0.07218506131549614
1,1,1,0.07218506131549614
0,0,1,0.07218506131549614
1,1,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,1,1,0.07218506131549614
1,0,1,0.07218506131549614
1,1,1,0.07218506131549614
0,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,1,1,0.07218506131549614
0,1,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,0,1,0.07218506131549614
0,1,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,1,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,1,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,1,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
1,0,1,0.07218506131549614
0,0,1,0.07218506131549614
1,0,1,0.07218506131549614
